ANO_INGRESSO,ANO_EVASAO,ID_SEXO,ID_ETNIA,INGRESSO,COTA,CHAMADA,SITUACAO,NOME_CURSO_AJUSTADO,TURNO_CURSO,SIGLA_CENTRO,DURACAO,CENSURA,TEMPO
2021,,2,6,Transferências,Sem informação,Sem informação,Permanência,Engenharia Civil,D,CT,5.0,0,1.0
2021,,2,6,SiSU,Universal,Chamada,Permanência,Engenharia Civil,D,CT,5.0,0,1.0
2021,,2,1,SiSU,Universal,Chamada,Permanência,Engenharia Civil,D,CT,5.0,0,1.0
2021,,1,1,SiSU,Racial,Chamada,Permanência,Engenharia Civil,D,CT,5.0,0,1.0
2021,,2,1,SiSU,Racial,Chamada,Permanência,Engenharia Civil,D,CT,5.0,0,1.0
2021,,2,6,SiSU,Racial,Chamada,Permanência,Engenharia Civil,D,CT,5.0,0,1.0
2021,,1,1,SiSU,Universal,Chamada,Permanência,Engenharia Civil,D,CT,5.0,0,1.0
2021,,2,4,SiSU,Social,Chamada,Permanência,Engenharia Civil,D,CT,5.0,0,1.0
2021,2021.0,2,2,SiSU,Social,Chamada,Desistência,Engenharia Civil,D,CT,5.0,0,0.0
2021,,2,4,SiSU,Social,Chamada,Permanência,Engenharia Civil,D,CT,5.0,0,1.0
2021,,1,1,SiSU,Racial,Listão,Permanência,Engenharia Civil,D,CT,5.0,0,1.0
2021,,1,1,SiSU,Social,Listão,Permanência,Engenharia Civil,D,CT,5.0,0,1.0
2021,,2,1,SiSU,Racial,Listão,Permanência,Engenharia Civil,D,CT,5.0,0,1.0
2021,,1,1,SiSU,Racial,Chamada,Permanência,Engenharia Civil,D,CT,5.0,0,1.0
2021,,2,1,SiSU,Universal,Chamada,Permanência,Engenharia Civil,D,CT,5.0,0,1.0
2021,,2,1,SiSU,Racial,Chamada,Permanência,Engenharia Civil,D,CT,5.0,0,1.0
2021,,1,1,SiSU,Racial,Chamada,Permanência,Engenharia Civil,D,CT,5.0,0,1.0
2021,2022.0,2,1,SiSU,Universal,Chamada,Desistência,Engenharia Civil,D,CT,5.0,0,1.0
2021,,2,1,SiSU,Universal,Chamada,Permanência,Engenharia Civil,D,CT,5.0,0,1.0
2021,,1,1,SiSU,Universal,Chamada,Permanência,Engenharia Civil,D,CT,5.0,0,1.0
2021,,1,1,SiSU,Universal,Chamada,Permanência,Engenharia Civil,D,CT,5.0,0,1.0
2021,,1,1,SiSU,Universal,Chamada,Permanência,Engenharia Civil,D,CT,5.0,0,1.0
